list-none-none,1,10,1,30,140102,4670
list-none-none,1,100,1,300,139894,466
list-none-none,1,1000,1,3000,3564557,1188
list-none-none,1,10000,1,30000,629117818,20970
list-none-none,1,20000,1,60000,3395226323,56587
list-none-none,2,1,1,6,136742,22790
list-none-none,2,10,1,60,152486,2541
list-none-none,2,100,1,600,212929,354
list-none-none,2,1000,1,6000,36180534,6030
list-none-none,4,1,1,12,170966,14247
list-none-none,8,1,1,24,298414,12433
list-none-none,8,100,1,2400,2867987,1194
list-none-none,8,1000,1,24000,71873142,2994
list-none-none,12,1,1,36,431620,11989
list-none-none,12,10,1,360,362879,1007
list-i-none,2,1,1,6,168971,28161
list-i-none,2,2,1,12,120193,10016
list-i-none,2,4,1,24,83931,3497
list-i-none,2,8,1,48,126987,2645
list-i-none,2,16,1,96,168177,1751
list-i-none,2,32,1,192,212380,1106
list-i-none,4,1,1,12,165727,13810
list-i-none,4,2,1,24,158185,6591
list-i-none,4,4,1,48,166510,3468
list-i-none,4,8,1,96,158787,1654
list-i-none,8,1,1,24,266554,11106
list-i-none,8,2,1,48,283599,5908
list-i-none,12,1,1,36,338725,9409
list-i-none,12,2,1,72,338011,4694
list-i-none,12,4,1,144,335121,2327
list-d-none,2,1,1,6,120531,20088
list-d-none,2,4,1,24,90156,3756
list-d-none,2,8,1,48,121944,2540
list-d-none,2,32,1,192,217531,1132
list-d-none,4,1,1,12,114182,9515
list-d-none,4,4,1,48,193831,4038
list-d-none,4,8,1,96,119483,1244
list-d-none,8,1,1,24,333419,13892
list-d-none,8,2,1,48,261273,5443
list-d-none,8,4,1,96,259690,2705
list-d-none,12,1,1,36,367576,10210
list-d-none,12,8,1,288,355552,1234
list-il-none,2,1,1,6,82243,13707
list-il-none,2,2,1,12,96918,8076
list-il-none,2,4,1,24,129396,5391
list-il-none,2,16,1,96,209999,2187
list-il-none,2,32,1,192,446072,2323
list-il-none,4,1,1,12,171579,14298
list-il-none,4,2,1,24,176840,7368
list-il-none,4,16,1,192,323431,1684
list-il-none,8,1,1,24,291524,12146
list-il-none,8,4,1,96,255269,2659
list-il-none,8,16,1,384,533137,1388
list-il-none,12,1,1,36,439585,12210
list-il-none,12,16,1,576,672255,1167
list-dl-none,2,1,1,6,120660,20110
list-dl-none,2,2,1,12,89601,7466
list-dl-none,2,4,1,24,108439,4518
list-dl-none,2,16,1,96,212259,2211
list-dl-none,2,32,1,192,365539,1903
list-dl-none,4,1,1,12,170787,14232
list-dl-none,4,2,1,24,156567,6523
list-dl-none,4,4,1,48,154346,3215
list-dl-none,4,8,1,96,170594,1777
list-dl-none,4,16,1,192,330339,1720
list-dl-none,8,1,1,24,317108,13212
list-dl-none,8,2,1,48,236949,4936
list-dl-none,8,4,1,96,281576,2933
list-dl-none,8,16,1,384,484412,1261
list-dl-none,12,1,1,36,393627,10934
list-dl-none,12,2,1,72,368753,5121
list-dl-none,12,4,1,144,361782,2512
list-i-m,12,32,1,1152,2293254,1990
list-d-m,12,32,1,1152,1889538,1640
list-il-m,12,32,1,1152,17044567,14795
list-dl-m,12,32,1,1152,14534408,12616
list-i-s,12,32,1,1152,5986170,5196
list-d-s,12,32,1,1152,4877581,4234
list-il-s,12,32,1,1152,26512712,23014
list-dl-s,12,32,1,1152,17925620,15560
list-none-none,1,1000,1,3000,3755848,1251
list-none-m,1,1000,1,3000,3686864,1228
list-none-m,2,1000,1,6000,23632202,3938
list-none-m,4,1000,1,12000,90401988,7533
list-none-m,8,1000,1,24000,376368470,15682
list-none-m,12,1000,1,36000,903128213,25086
list-none-m,16,1000,1,48000,1815043588,37813
list-none-m,24,1000,1,72000,4378078885,60806
list-none-s,1,1000,1,3000,3828968,1276
list-none-s,2,1000,1,6000,37341002,6223
list-none-s,4,1000,1,12000,210041870,17503
list-none-s,8,1000,1,24000,1259469320,52477
list-none-s,12,1000,1,36000,4031796166,111994
list-none-s,16,1000,1,48000,5698119022,118710
list-none-s,24,1000,1,72000,42960914061,596679
list-none-none,1,10,1,30,86800,2893
list-none-none,1,100,1,300,135371,451
list-none-none,1,1000,1,3000,3663407,1221
list-none-none,1,10000,1,30000,614288663,20476
list-none-none,1,20000,1,60000,3358999096,55983
list-none-none,2,1,1,6,93415,15569
list-none-none,2,10,1,60,128368,2139
list-none-none,2,100,1,600,386097,643
list-none-none,4,1,1,12,128735,10727
list-none-none,4,10,1,120,180798,1506
list-none-none,4,100,1,1200,840994,700
list-none-none,8,1,1,24,218293,9095
list-none-none,8,1000,1,24000,72581334,3024
list-none-none,12,1,1,36,364765,10132
list-none-none,12,10,1,360,346337,962
list-i-none,2,1,1,6,160931,26821
list-i-none,2,2,1,12,85523,7126
list-i-none,2,4,1,24,126108,5254
list-i-none,2,8,1,48,145935,3040
list-i-none,2,16,1,96,133531,1390
list-i-none,4,1,1,12,145431,12119
list-i-none,4,2,1,24,133802,5575
list-i-none,4,4,1,48,183419,3821
list-i-none,4,8,1,96,137607,1433
list-i-none,4,16,1,192,194791,1014
list-i-none,8,1,1,24,220685,9195
list-i-none,8,2,1,48,246085,5126
list-i-none,8,4,1,96,262802,2737
list-i-none,12,1,1,36,374842,10412
list-i-none,12,2,1,72,317541,4410
list-i-none,12,8,1,288,379110,1316
list-d-none,2,1,1,6,99549,16591
list-d-none,2,2,1,12,129024,10752
list-d-none,2,4,1,24,126209,5258
list-d-none,2,8,1,48,128996,2687
list-d-none,2,16,1,96,144709,1507
list-d-none,4,1,1,12,183038,15253
list-d-none,4,2,1,24,179518,7479
list-d-none,4,4,1,48,128007,2666
list-d-none,4,8,1,96,184630,1923
list-d-none,4,16,1,192,183647,956
list-d-none,8,1,1,24,282331,11763
list-d-none,12,1,1,36,358940,9970
list-d-none,12,2,1,72,359293,4990
list-d-none,12,4,1,144,343446,2385
list-d-none,12,8,1,288,331151,1149
list-il-none,2,1,1,6,107417,17902
list-il-none,2,2,1,12,121615,10134
list-il-none,2,4,1,24,110816,4617
list-il-none,2,8,1,48,133825,2788
list-il-none,2,16,1,96,221837,2310
list-il-none,2,32,1,192,412768,2149
list-il-none,4,1,1,12,181092,15091
list-il-none,4,2,1,24,114714,4779
list-il-none,4,4,1,48,186724,3890
list-il-none,8,1,1,24,236247,9843
list-il-none,8,2,1,48,264796,5516
list-il-none,8,4,1,96,237166,2470
list-il-none,12,1,1,36,332565,9237
list-il-none,12,2,1,72,300645,4175
list-il-none,12,4,1,144,364579,2531
list-dl-none,2,2,1,12,85130,7094
list-dl-none,2,4,1,24,123348,5139
list-dl-none,2,8,1,48,99426,2071
list-dl-none,2,32,1,192,413979,2156
list-dl-none,4,1,1,12,181434,15119
list-dl-none,4,2,1,24,165020,6875
list-dl-none,4,4,1,48,184459,3842
list-dl-none,4,8,1,96,191287,1992
list-dl-none,4,16,1,192,318347,1658
list-dl-none,8,1,1,24,255371,10640
list-dl-none,8,2,1,48,245170,5107
list-dl-none,8,4,1,96,302725,3153
list-dl-none,8,16,1,384,550808,1434
list-dl-none,12,2,1,72,346411,4811
list-dl-none,12,4,1,144,370973,2576
list-i-m,12,32,1,1152,1881226,1633
list-d-m,12,32,1,1152,2012162,1746
list-il-m,12,32,1,1152,15642467,13578
list-dl-m,12,32,1,1152,13267841,11517
list-i-s,12,32,1,1152,4546162,3946
list-d-s,12,32,1,1152,3180788,2761
list-il-s,12,32,1,1152,25411418,22058
list-dl-s,12,32,1,1152,12588086,10927
list-none-none,1,1000,1,3000,3670116,1223
list-none-m,1,1000,1,3000,3776061,1258
list-none-m,2,1000,1,6000,23213104,3868
list-none-m,4,1000,1,12000,87762004,7313
list-none-m,8,1000,1,24000,366540596,15272
list-none-m,12,1000,1,36000,863187228,23977
list-none-m,16,1000,1,48000,1839308925,38318
list-none-m,24,1000,1,72000,4227035468,58708
list-none-s,1,1000,1,3000,3652715,1217
list-none-s,2,1000,1,6000,41633081,6938
list-none-s,4,1000,1,12000,226866370,18905
list-none-s,8,1000,1,24000,1044429520,43517
list-none-s,12,1000,1,36000,3029250408,84145
list-none-s,16,1000,1,48000,8186599986,170554
list-none-s,24,1000,1,72000,25048737165,347899
